Vehículo;Etiqueta;Matrícula;Tipo Vehículo;Tipo Servicio;Nivel Emisión ;Marca;Accesible;Operador;Modelo;Zona;Concesión;Calificación ;(Columna M agregada con propósitos meramente pedagógicos)
10528;D0528;WGH682;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;CONSORCIO EXPRESS SAN CRISTOBAL;2014;San Cristóbal;SAN CRISTOBAL T3;5,57;
10529;D0529;WGH639;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;CONSORCIO EXPRESS SAN CRISTOBAL;2014;San Cristóbal;SAN CRISTOBAL T3;5,67;
10530;D0530;WGH714;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;CONSORCIO EXPRESS SAN CRISTOBAL;2014;San Cristóbal;SAN CRISTOBAL T3;5,81;
10531;D0531;WEW528;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;CONSORCIO EXPRESS SAN CRISTOBAL;2014;San Cristóbal;SAN CRISTOBAL T3;5,51;
10532;D0532;WGH715;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;CONSORCIO EXPRESS SAN CRISTOBAL;2014;San Cristóbal;SAN CRISTOBAL T3;5,53;
10533;D0533;WEW531;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;CONSORCIO EXPRESS SAN CRISTOBAL;2014;San Cristóbal;SAN CRISTOBAL T3;6,61;
10534;D0534;WEW541;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;CONSORCIO EXPRESS SAN CRISTOBAL;2014;San Cristóbal;SAN CRISTOBAL T3;6,76;
10535;D0535;WGH696;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;CONSORCIO EXPRESS SAN CRISTOBAL;2014;San Cristóbal;SAN CRISTOBAL T3;6,69;
10536;D0536;WGH646;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;CONSORCIO EXPRESS SAN CRISTOBAL;2014;San Cristóbal;SAN CRISTOBAL T3;6,09;
10537;D0537;WEW533;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;CONSORCIO EXPRESS SAN CRISTOBAL;2014;San Cristóbal;SAN CRISTOBAL T3;6,83;
10538;D0538;WEW573;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;CONSORCIO EXPRESS SAN CRISTOBAL;2014;San Cristóbal;SAN CRISTOBAL T3;5,67;
10539;D0539;WEW584;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;CONSORCIO EXPRESS SAN CRISTOBAL;2014;San Cristóbal;SAN CRISTOBAL T3;5,78;
